fecha,comuna,categoria,producto,cantidad,precio_unitario,total_venta,medio_pago,cliente_nuevo
2023-11-23,Futrono,Ropa,Polera,3,100600.0,301800.0,Crédito,False
2023-11-13,La Unión,Ropa,Chaqueta,4,192900.0,771600.0,Crédito,False
2023-06-27,La Unión,Ropa,Polera,3,112100.0,336300.0,Débito,False
2023-03-05,Lanco,Deportes,Balón,2,361400.0,722800.0,Efectivo,True
2023-07-20,Panguipulli,Electrodomésticos,Microondas,2,297700.0,595400.0,Transferencia,True
2023-11-04,Futrono,Alimentos,Huevos,1,466200.0,466200.0,Efectivo,False
2023-07-28,Los Lagos,Deportes,Zapatillas,3,239800.0,719400.0,Efectivo,False
2023-09-22,Los Lagos,Alimentos,Huevos,2,138900.0,277800.0,Débito,False
2023-07-25,Mariquina,Hogar,Mesa,1,497500.0,497500.0,Crédito,False
2023-02-26,Mariquina,Electrodomésticos,Hervidor,1,496400.0,496400.0,Efectivo,False
2023-03-19,Río Bueno,Electrodomésticos,Refrigerador,4,402200.0,1608800.0,Débito,True
2023-01-17,La Unión,Tecnología,Tablet,2,80100.0,160200.0,Débito,False
2023-06-25,La Unión,Deportes,Bicicleta,4,263300.0,1053200.0,Transferencia,False
2023-09-28,Río Bueno,Ropa,Pantalón,1,321400.0,321400.0,Débito,True
2023-12-11,Los Lagos,Electrodomésticos,Microondas,1,452900.0,452900.0,Transferencia,True
2023-09-30,Panguipulli,Alimentos,Leche,4,271100.0,1084400.0,Débito,False
2023-08-23,Futrono,Tecnología,Tablet,3,225700.0,677100.0,Crédito,True
2023-02-02,Corral,Electrodomésticos,Hervidor,1,316700.0,316700.0,Transferencia,True
2023-01-02,Lanco,Hogar,Lámpara,4,190800.0,763200.0,Crédito,True
2023-10-31,Río Bueno,Alimentos,Arroz,2,255100.0,510200.0,Débito,True
2023-07-14,Lanco,Deportes,Zapatillas,1,436400.0,436400.0,Efectivo,True
2023-08-09,Los Lagos,Electrodomésticos,Microondas,1,10700.0,10700.0,Crédito,False
2023-01-22,Lanco,Deportes,Zapatillas,4,314000.0,1256000.0,Débito,False
2023-07-11,Futrono,Hogar,Lámpara,2,452700.0,905400.0,Débito,False
2023-02-12,Mariquina,Tecnología,Notebook,4,105700.0,422800.0,Crédito,True
2023-04-09,Paillaco,Deportes,Bicicleta,1,228100.0,228100.0,Transferencia,False
2023-01-28,Lanco,Hogar,Lámpara,4,390300.0,1561200.0,Transferencia,True
2023-09-12,Valdivia,Hogar,Mesa,1,203900.0,203900.0,Transferencia,True
